│ 2026-03-28 12:14:14.60  │ 51.553424 │ -0.155702 │ 39.7 │   0.41 │   0.66 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     192 │      61 │     360 │       0 │     360 │   15027 │     164 │       0 │      61 │     164 │
│ 2026-03-28 12:14:14.90  │ 51.553422 │ -0.155702 │ 39.7 │   0.44 │   0.70 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      48 │      15 │     616 │       0 │     616 │   15283 │      11 │       0 │      15 │      11 │
│ 2026-03-28 12:14:15.10  │ 51.553421 │ -0.155701 │ 39.7 │   0.42 │   0.67 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      53 │      20 │     821 │       0 │     821 │   15488 │      11 │       0 │      20 │      11 │
│ 2026-03-28 12:14:15.30  │ 51.553420 │ -0.155700 │ 39.7 │   0.36 │   0.59 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     198 │      60 │     966 │       0 │     966 │   15633 │     156 │       0 │      60 │     156 │
│ 2026-03-28 12:14:15.50  │ 51.553420 │ -0.155701 │ 39.8 │   0.28 │   0.44 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      63 │      26 │     225 │       0 │     225 │   15898 │      10 │       0 │      26 │      10 │
│ 2026-03-28 12:14:15.70  │ 51.553420 │ -0.155701 │ 39.8 │   0.30 │   0.49 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      47 │      10 │     409 │       0 │     409 │   16082 │     194 │       0 │      10 │     194 │
│ 2026-03-28 12:14:16.10  │ 51.553419 │ -0.155701 │ 39.8 │   0.43 │   0.69 │ 685.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      72 │      36 │     635 │       0 │     635 │   16308 │      10 │       0 │      36 │      10 │
│ 2026-03-28 12:14:16.10  │ 51.553419 │ -0.155701 │ 39.8 │   0.49 │   0.79 │ 685.0 │        6 │   0.00 │    0.000 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      45 │       9 │     808 │       0 │     808 │   16481 │     183 │       0 │       9 │     183 │
│ 2026-03-28 12:14:16.50  │ 51.553419 │ -0.155702 │ 39.8 │   0.52 │   0.84 │ 685.0 │        6 │   0.00 │    0.000 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      63 │      25 │      25 │       0 │      25 │   16698 │     196 │       0 │      25 │     196 │
│ 2026-03-28 12:14:16.70  │ 51.553419 │ -0.155702 │ 39.8 │   0.52 │   0.84 │ 685.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      80 │      42 │     242 │       0 │     242 │   16915 │     206 │       0 │      42 │     206 │
│ 2026-03-28 12:14:16.90  │ 51.553419 │ -0.155702 │ 39.8 │   0.49 │   0.80 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      53 │      17 │     417 │       0 │     417 │   17090 │     175 │       0 │      17 │     175 │
│ 2026-03-28 12:14:17.10  │ 51.553419 │ -0.155702 │ 39.8 │   0.52 │   0.83 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      77 │      44 │     643 │       0 │     643 │   17316 │     195 │       0 │      44 │     195 │
│ 2026-03-28 12:14:17.20  │ 51.553419 │ -0.155702 │ 39.9 │   0.50 │   0.81 │ 685.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      65 │      28 │     827 │       0 │     827 │   17500 │     174 │       0 │      28 │     174 │
│ 2026-03-28 12:14:17.50  │ 51.553418 │ -0.155702 │ 39.9 │   0.51 │   0.83 │ 685.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      72 │      28 │      28 │       0 │      28 │   17707 │     176 │       0 │      28 │     176 │
